dataset,discard,notes,phenomenon,gramm_id,gramm_sentence,ungramm_id,ungramm_sentence
LI,,,,32.1.martin.25b.g.05,Cindy convinced Charles that he would go to the bank.,32.1.martin.26b.??.05,Cindy convinced Charles to have gone to the bank.
LI,,,,32.1.martin.25b.g.06,Debra convinced Elliot that he would wash the dishes.,32.1.martin.26b.??.06,Debra convinced Elliot to have washed the dishes.
LI,,,,32.1.martin.25b.g.07,Elaine convinced Francis that he would take a shower.,32.1.martin.26b.??.07,Elaine convinced Francis to have taken a shower.
LI,,,,32.1.martin.25b.g.08,Mindy convinced George that he would finish the novel.,32.1.martin.26b.??.08,Mindy convinced George to have finished the novel.
LI,,,,32.1.martin.27b.g.01,Sarah convinced Bill that he will have gone to the party by the time he goes to bed this evening.,32.1.martin.28b.??.01,Sarah convinced Bill that he would have gone to the party by the time he goes to bed this evening.
LI,,"prn antecedent is matrix subject, should be embedded subject",,32.1.martin.27b.g.02,Celia convinced Brad that he will have eaten dinner by the time she gets home.,32.1.martin.28b.??.02,Celia convinced Brad that he would have eaten dinner by the time she gets home.
LI,,"prn antecedent is matrix subject, should be embedded subject",,32.1.martin.27b.g.03,Benny convinced Cindy that she will have gotten dressed by the time he wakes up.,32.1.martin.28b.??.03,Benny convinced Cindy that she would have gotten dressed by the time he wakes up.
LI,,,,32.1.martin.27b.g.04,Cameron convinced Velma that she will have finished her coffee by the time the place closes.,32.1.martin.28b.??.04,Cameron convinced Velma that she would have finished her coffee by the time the place closes.
LI,,,,32.1.martin.27b.g.05,Judy convinced Edith that she will have forgotten about Rick by the time Christmas comes around.,32.1.martin.28b.??.05,Judy convinced Edith that she would have forgotten about Rick by the time Christmas comes around.
LI,,,,32.1.martin.27b.g.06,Jan convinced Emile that he will have gotten better by the time he has to go to school.,32.1.martin.28b.??.06,Jan convinced Emile that he would have gotten better by the time he has to go to school.
LI,,(ambiguous antecedent for she),,32.1.martin.27b.g.07,The father convinced the mother that she will have forgiven her daughter by the time she comes home for a visit.,32.1.martin.28b.??.07,The father convinced the mother that she would have forgiven her daughter by the time she comes home for a visit.
LI,,(ambiguous antecedent for he),,32.1.martin.27b.g.08,The principal convinced the teacher that he will have finished grading before he goes on vacation.,32.1.martin.28b.??.08,The principal convinced the teacher that he would have finished grading before he goes on vacation.
LI,,[this PP is semantically higher than the ones SSA created],,32.1.martin.65a.g.01,John believes without a doubt that his team will win.,32.1.martin.65b.*.01,John believes without a doubt his team will win.
LI,,[this PP is semantically higher than the ones SSA created],,32.1.martin.65a.g.02,Emma thought for a moment that her friend was at the door.,32.1.martin.65b.*.02,Emma thought for a moment her friend was at the door.
LI,,[this PP is semantically higher than the ones SSA created],,32.1.martin.65a.g.03,Bill heard from Sarah that their boss was fired.,32.1.martin.65b.*.03,Bill heard from Sarah their boss was fired.
LI,,[this PP is semantically higher than the ones SSA created]; (not an adjunct),,32.1.martin.65a.g.04,Ashley suggested to Michael that he should throw a party.,32.1.martin.65b.*.04,Ashley suggested to Michael he should throw a party.
LI,,[this PP is semantically higher than the ones SSA created],,32.1.martin.65a.g.05,Thomas read in the paper that the stock market crashed.,32.1.martin.65b.*.05,Thomas read in the paper the stock market crashed.
LI,,[this PP is semantically higher than the ones SSA created],,32.1.martin.65a.g.06,Jessica saw on the news that Michael Jackson died.,32.1.martin.65b.*.06,Jessica saw on the news Michael Jackson died.
LI,,[this PP is semantically higher than the ones SSA created],,32.1.martin.65a.g.07,David learned from the internet that Lindsay Lohan is back in rehab.,32.1.martin.65b.*.07,David learned from the internet Lindsay Lohan is back in rehab.
LI,,[this PP is semantically higher than the ones SSA created]; (not an adjunct),,32.1.martin.65a.g.08,Amanda hinted to Jack that there will be a pop quiz on Monday.,32.1.martin.65b.*.08,Amanda hinted to Jack there will be a pop quiz on Monday.
LI,,,,32.1.martin.66a.g.01,It is illegal for one to criticize the government.,32.1.martin.66b.*.01,It is illegal one to criticize the government.
LI,,,,32.1.martin.66a.g.02,It is not wise for one to skip class.,32.1.martin.66b.*.02,It is not wise one to skip class.
LI,,,,32.1.martin.66a.g.03,It is important for one to sleep regularly.,32.1.martin.66b.*.03,It is important one to sleep regularly.
LI,,,,32.1.martin.66a.g.04,It is suspicious for one to wear black.,32.1.martin.66b.*.04,It is suspicious one to wear black.
LI,,,,32.1.martin.66a.g.05,It is silly for one to sing in the shower.,32.1.martin.66b.*.05,It is silly one to sing in the shower.
LI,,,,32.1.martin.66a.g.06,It is possible for one to fix past mistakes.,32.1.martin.66b.*.06,It is possible one to fix past mistakes.
LI,,,,32.1.martin.66a.g.07,It is normal for one to be afraid of the dentist.,32.1.martin.66b.*.07,It is normal one to be afraid of the dentist.
LI,,,,32.1.martin.66a.g.08,It is unfair for one to judge the less fortunate.,32.1.martin.66b.*.08,It is unfair one to judge the less fortunate.
LI,,,,32.1.martin.69a.g.01,My belief that Kim is clever is sincere.,32.1.martin.69b.*.01,My belief Kim is clever is sincere.
LI,,,,32.1.martin.69a.g.02,The thought that Brian is inept is accurate.,32.1.martin.69b.*.02,The thought Brian is inept is accurate.
LI,,,,32.1.martin.69a.g.03,The announcement that Michelle is retiring surprised the office.,32.1.martin.69b.*.03,The announcement Michelle is retiring surprised the office.
LI,,,,32.1.martin.69a.g.04,My discovery that Nick is a liar disappointed Miranda.,32.1.martin.69b.*.04,My discovery Nick is a liar disappointed Miranda.
LI,,,,32.1.martin.69a.g.05,The expectation that Lauren will graduate is reasonable.,32.1.martin.69b.*.05,The expectation Lauren will graduate is reasonable.
LI,,,,32.1.martin.69a.g.06,My suspicion that Adam is cheating is based on evidence.,32.1.martin.69b.*.06,My suspicion Adam is cheating is based on evidence.
LI,,,,32.1.martin.69a.g.07,Your assumption that Kelly is lying offended her mother.,32.1.martin.69b.*.07,Your assumption Kelly is lying offended her mother.
LI,,,,32.1.martin.69a.g.08,Your allegation that Eric is untrustworthy is biased.,32.1.martin.69b.*.08,Your allegation Eric is untrustworthy is biased.
LI,,[not fully matchable],,32.1.martin.77.g.01,How likely to win the race is John?,32.1.martin.79.*.01,How likely to be a riot is there?
LI,,[not fully matchable],,32.1.martin.77.g.02,How likely to get the promotion is Elizabeth?,32.1.martin.79.*.02,How likely to be a meeting is there?
LI,,[not fully matchable],,32.1.martin.77.g.03,How likely to win the election is Kristin?,32.1.martin.79.*.03,How likely to be a strike is there?
LI,,[not fully matchable],,32.1.martin.77.g.04,How likely to buy the car is Sam?,32.1.martin.79.*.04,How likely to be a party is there?
LI,,[not fully matchable],,32.1.martin.77.g.05,How likely to sell the house is Diane?,32.1.martin.79.*.05,How likely to be a stock market crash is there?
LI,,[not fully matchable],,32.1.martin.77.g.06,How likely to pass the class is Alex?,32.1.martin.79.*.06,How likely to be a storm is there?
LI,,[not fully matchable],,32.1.martin.77.g.07,How likely to break the record is Ellen?,32.1.martin.79.*.07,How likely to be an earthquake is there?
LI,,[not fully matchable],,32.1.martin.77.g.08,How likely to take the job is Nancy?,32.1.martin.79.*.08,How likely to be a tornado is there?
LI,,,,32.1.martin.92b.g.01,John is believed to have parked here.,32.1.martin.93b.*.01,John is illegal to park here.
LI,,,,32.1.martin.92b.g.02,Linda is certain to have passed the test.,32.1.martin.93b.*.02,Linda is possible to pass the test.
LI,,,,32.1.martin.92b.g.03,Steven is likely to have gone for a walk.,32.1.martin.93b.*.03,Steven is necessary to go for a walk.
LI,,,,32.1.martin.92b.g.04,Maria is bound to have finished her homework.,32.1.martin.93b.*.04,Maria is important to finish her homework.
LI,,,,32.1.martin.92b.g.05,Eddie seems to have painted the portrait.,32.1.martin.93b.*.05,Eddie was tried to paint the portrait.
LI,,,,32.1.martin.92b.g.06,Kelsey appears to have left early.,32.1.martin.93b.*.06,Kelsey was attempted to leave early.
LI,,,,32.1.martin.92b.g.07,Dylan seems to have written the computer program.,32.1.martin.93b.*.07,Dylan was planned to write the computer program.
LI,,,,32.1.martin.92b.g.08,Carla appears to have graduated high school.,32.1.martin.93b.*.08,Carla was hoped to graduate high school.
LI,,,,32.2.alexiadou.31b.g.01,Don't touch that dial! suggested the TV screen abruptly.,32.2.alexiadou.31a.*.01,Don't touch that dial! suggested abruptly the TV screen.
LI,,,,32.2.alexiadou.31b.g.02,Wait one moment please! asked the voice recording kindly.,32.2.alexiadou.31a.*.02,Wait one moment please! asked kindly the voice recording.
LI,,,,32.2.alexiadou.31b.g.03,This just in! interrupted the radio announcer hastily.,32.2.alexiadou.31a.*.03,This just in! interrupted hastily the radio announcer.
LI,,,,32.2.alexiadou.31b.g.04,"Ready, aim, fire! directed the army sergeant strictly.",32.2.alexiadou.31a.*.04,"Ready, aim, fire! directed strictly the army sergeant."
LI,,,,32.2.alexiadou.31b.g.05,Click it or Ticket! flashed the freeway sign brightly.,32.2.alexiadou.31a.*.05,Click it or Ticket! flashed brightly the freeway sign.
LI,,,,32.2.alexiadou.31b.g.06,Stop bullying me! shouted the overweight child fearfully.,32.2.alexiadou.31a.*.06,Stop bullying me! shouted fearfully the overweight child.
LI,,,,32.2.alexiadou.31b.g.07,Touchdown! screamed the football fan excitedly.,32.2.alexiadou.31a.*.07,Touchdown! screamed excitedly the football fan.
LI,,,,32.2.alexiadou.31b.g.08,Clear! exclaimed the doctor worriedly.,32.2.alexiadou.31a.*.08,Clear! exclaimed worriedly the doctor.
LI,,,,32.2.boeckx.11.g.01,"Debbie ate chocolate, and Kathy drank milk.",32.2.boeckx.11.*.01,"Debbie ate chocolate, and Kathy milk drank."
LI,,,,32.2.boeckx.11.g.02,"Ryan read the sports page, and Sandra watched the news.",32.2.boeckx.11.*.02,"Ryan read the sports page, and Sandra the news watched."
LI,,,,32.2.boeckx.11.g.03,"Jack washed the dishes, and Kate folded the laundry.",32.2.boeckx.11.*.03,"Jack washed the dishes, and Kate the laundry folded."
LI,,,,32.2.boeckx.11.g.04,"Laura set the table, and Sharon baked the cake.",32.2.boeckx.11.*.04,"Laura set the table, and Sharon the cake baked."
LI,,,,32.2.boeckx.11.g.05,"Mark turned on the TV, and Penny loaded the DVD player.",32.2.boeckx.11.*.05,"Mark turned on the TV, and Penny the DVD player loaded."
LI,,,,32.2.boeckx.11.g.06,"Jason drove his car, and Tara rode her bike.",32.2.boeckx.11.*.06,"Jason drove his car, and Tara her bike rode."
LI,,,,32.2.boeckx.11.g.07,"Andy ordered a cheeseburger, and Bill requested another drink.",32.2.boeckx.11.*.07,"Andy ordered a cheeseburger, and Bill another drink requested."
LI,,,,32.2.boeckx.11.g.08,"Heather dusted the shelves, and Madison vacuumed the carpet.",32.2.boeckx.11.*.08,"Heather dusted the shelves, and Madison the carpet vacuumed."
LI,,,,32.2.nunes.3a1.g.01,John was kissed.,32.2.nunes.3b.*.01,Was kissed John.
LI,,,,32.2.nunes.3a1.g.02,Marcie was fired.,32.2.nunes.3b.*.02,Was fired Marcie.
LI,,,,32.2.nunes.3a1.g.03,Linda was hired.,32.2.nunes.3b.*.03,Was hired Linda.
LI,,,,32.2.nunes.3a1.g.04,Dale was suspended.,32.2.nunes.3b.*.04,Was suspended Dale.
LI,,,,32.2.nunes.3a1.g.05,Caroline was congratulated.,32.2.nunes.3b.*.05,Was congratulated Caroline.
LI,,,,32.2.nunes.3a1.g.06,Steve was scolded.,32.2.nunes.3b.*.06,Was scolded Steve.
LI,,,,32.2.nunes.3a1.g.07,Hillary was interviewed.,32.2.nunes.3b.*.07,Was interviewed Hillary.
LI,,,,32.2.nunes.3a1.g.08,Annie was insulted.,32.2.nunes.3b.*.08,Was insulted Annie.
LI,,,,32.2.nunes.3a2.g.01,John was kissed.,32.2.nunes.3c.*.01,John was kissed John.
LI,,,,32.2.nunes.3a2.g.02,The book was read.,32.2.nunes.3c.*.02,The book was read the book.
LI,,,,32.2.nunes.3a2.g.03,The laundry was folded.,32.2.nunes.3c.*.03,The laundry was folded the laundry.
LI,,,,32.2.nunes.3a2.g.04,The money was stolen.,32.2.nunes.3c.*.04,The money was stolen the money.
LI,,,,32.2.nunes.3a2.g.05,The hedges were trimmed.,32.2.nunes.3c.*.05,The hedges were trimmed the hedges.
LI,,,,32.2.nunes.3a2.g.06,Kelly was praised.,32.2.nunes.3c.*.06,Kelly was praised Kelly.
LI,,,,32.2.nunes.3a2.g.07,Tommy was punished.,32.2.nunes.3c.*.07,Tommy was punished Tommy.
LI,,,,32.2.nunes.3a2.g.08,Abigail was promoted.,32.2.nunes.3c.*.08,Abigail was promoted Abigail.
LI,,,,32.2.nunes.48b.g.01,Mary drove to Rio and John flew to Sao Paulo.,32.2.nunes.48b.*.01,Mary drove Rio and John flew to Sao Paulo.
LI,,,,32.2.nunes.48b.g.02,Luke swam to the shore and Gabrielle swam to the boat.,32.2.nunes.48b.*.02,Luke swam the shore and Gabrielle swam to the boat.
LI,,,,32.2.nunes.48b.g.03,Angela biked to the store and Sean walked to the park.,32.2.nunes.48b.*.03,Angela biked the store and Sean walked to the park.
LI,,,,32.2.nunes.48b.g.04,Daniel jogged to the gym and Kayla walked to the restaurant.,32.2.nunes.48b.*.04,Daniel jogged the gym and Kayla walked to the restaurant.
LI,,,,32.2.nunes.48b.g.05,Beth hitchhiked to Los Angeles and Robert drove to San Diego.,32.2.nunes.48b.*.05,Beth hitchhiked Los Angeles and Robert drove to San Diego.
LI,,,,32.2.nunes.48b.g.06,Paul flew to Ireland and Laura sailed to Greece.,32.2.nunes.48b.*.06,Paul flew Ireland and Laura sailed to Greece.
LI,,,,32.2.nunes.48b.g.07,Shannon walked to school and Corey biked to practice.,32.2.nunes.48b.*.07,Shannon walked school and Corey biked to practice.
LI,,,,32.2.nunes.48b.g.08,Mark sailed to the Caribbean and Cathy flew to the Mediterranean.,32.2.nunes.48b.*.08,Mark sailed the Caribbean and Cathy flew to the Mediterranean.
LI,,[potential local misparse: [so Adv] as AdvP],,32.2.stroik.13a.g.01,They all have left and they have all done so deliberately.,32.2.stroik.13b.*.01,They all have left and they have done all so deliberately.
LI,,[potential local misparse: [so Adv] as AdvP],,32.2.stroik.13a.g.02,They all have eaten and they have all done so quickly.,32.2.stroik.13b.*.02,They all have eaten and they have done all so quickly.
LI,,[potential local misparse: [so Adv] as AdvP],,32.2.stroik.13a.g.03,They all have finished and they have all done so efficiently.,32.2.stroik.13b.*.03,They all have finished and they have done all so efficiently.
LI,,[potential local misparse: [so Adv] as AdvP],,32.2.stroik.13a.g.04,They all have helped and they have all done so generously.,32.2.stroik.13b.*.04,They all have helped and they have done all so generously.
LI,,[potential local misparse: [so Adv] as AdvP],,32.2.stroik.13a.g.05,They all have practiced and they have all done so regularly.,32.2.stroik.13b.*.05,They all have practiced and they have done all so regularly.
LI,,[potential local misparse: [so Adv] as AdvP],,32.2.stroik.13a.g.06,They all have studied and they have all done so effectively.,32.2.stroik.13b.*.06,They all have studied and they have done all so effectively.
LI,,[potential local misparse: [so Adv] as AdvP],,32.2.stroik.13a.g.07,They all have spoken and they have all done so eloquently.,32.2.stroik.13b.*.07,They all have spoken and they have done all so eloquently.
LI,,[potential local misparse: [so Adv] as AdvP],,32.2.stroik.13a.g.08,They all have listened and they have all done so intently.,32.2.stroik.13b.*.08,They all have listened and they have done all so intently.
LI,,,,32.2.stroik.17a.g.01,"Chris is happy, and Pat is too.",32.2.stroik.17a.*.01,"Chris is happy, and Pat does so too."
LI,,,,32.2.stroik.17a.g.02,"Frank is foolish, and Alexis is too.",32.2.stroik.17a.*.02,"Frank is foolish, and Alexis does so too."
LI,,,,32.2.stroik.17a.g.03,"Artemis is grumpy, and Toni is too.",32.2.stroik.17a.*.03,"Artemis is grumpy, and Toni does so too."
LI,,,,32.2.stroik.17a.g.04,"Arty is sick, and Mark is too.",32.2.stroik.17a.*.04,"Arty is sick, and Mark does so too."
LI,,,,32.2.stroik.17a.g.05,"Joanne is jealous, and Annie is too.",32.2.stroik.17a.*.05,"Joanne is jealous, and Annie does so too."
LI,,,,32.2.stroik.17a.g.06,"Fritz is uncomfortable, and Frannie is too.",32.2.stroik.17a.*.06,"Fritz is uncomfortable, and Frannie does so too."
LI,,,,32.2.stroik.17a.g.07,"Clive is nervous, and Kirsten is too.",32.2.stroik.17a.*.07,"Clive is nervous, and Kirsten does so too."
LI,,,,32.2.stroik.17a.g.08,"Orin is skinny, and Jamal is too.",32.2.stroik.17a.*.08,"Orin is skinny, and Jamal does so too."
LI,,,,32.2.stroik.4a.g.01,"Max may have been studying, but Jason may have been doing so too.",32.2.stroik.4b.*.01,"Max may have been studying, but Jason may have done so too."
LI,,,,32.2.stroik.4a.g.02,"Tiffany may have been reading, but Melissa may have been doing so too.",32.2.stroik.4b.*.02,"Tiffany may have been reading, but Melissa may have done so too."
LI,,,,32.2.stroik.4a.g.03,"Derek may have been sleeping, but Travis may have been doing so too.",32.2.stroik.4b.*.03,"Derek may have been sleeping, but Travis may have done so too."
LI,,,,32.2.stroik.4a.g.04,"Kate may have been driving, but Rebecca may have been doing so too.",32.2.stroik.4b.*.04,"Kate may have been driving, but Rebecca may have done so too."
LI,,,,32.2.stroik.4a.g.05,"David may have been skiing, but William may have been doing so too.",32.2.stroik.4b.*.05,"David may have been skiing, but William may have done so too."
LI,,,,32.2.stroik.4a.g.06,"Cecilia may have been dancing, but Ariel may have been doing so too.",32.2.stroik.4b.*.06,"Cecilia may have been dancing, but Ariel may have done so too."
LI,,,,32.2.stroik.4a.g.07,"Richard may have been hiding, but Blake may have been doing so too.",32.2.stroik.4b.*.07,"Richard may have been hiding, but Blake may have done so too."
LI,,,,32.2.stroik.4a.g.08,"Alicia may have been shopping, but Sally may have been doing so too.",32.2.stroik.4b.*.08,"Alicia may have been shopping, but Sally may have done so too."
LI,,,,32.3.Culicover.15bii.g.01,John flattered Mary while insulting himself.,32.3.Culicover.15bii.*.01,John flattered Mary while insulting herself.
LI,,,,32.3.Culicover.15bii.g.02,Amber called Anthony after injuring herself.,32.3.Culicover.15bii.*.02,Amber called Anthony after injuring himself.
LI,,,,32.3.Culicover.15bii.g.03,Tim complimented Hannah after introducing himself.,32.3.Culicover.15bii.*.03,Tim complimented Hannah after introducing herself.
LI,,,,32.3.Culicover.15bii.g.04,Tina aggravated Ethan while amusing herself.,32.3.Culicover.15bii.*.04,Tina aggravated Ethan while amusing himself.
LI,,,,32.3.Culicover.15bii.g.05,Natalie surprised Jared while boring herself.,32.3.Culicover.15bii.*.05,Natalie surprised Jared while boring himself.
LI,,(can Dale be a female name?),,32.3.Culicover.15bii.g.06,Dale found Brooke after frightening himself.,32.3.Culicover.15bii.*.06,Dale found Brooke after frightening herself.
LI,,,,32.3.Culicover.15bii.g.07,Molly avoided Keith after embarrassing herself.,32.3.Culicover.15bii.*.07,Molly avoided Keith after embarrassing himself.
LI,,,,32.3.Culicover.15bii.g.08,Josh annoyed Paige while distracting himself.,32.3.Culicover.15bii.*.08,Josh annoyed Paige while distracting herself.
LI,,,,32.3.Culicover.22b.g.01,John told Sue when to wash herself.,32.3.Culicover.22b.*.01,John told Sue when to wash himself.
LI,,,,32.3.Culicover.22b.g.02,Marcy told Jeremy when to excuse himself.,32.3.Culicover.22b.*.02,Marcy told Jeremy when to excuse herself.
LI,,* and g versions should be swapped,,32.3.Culicover.22b.g.03,Mindy told Chuck when to praise herself.,32.3.Culicover.22b.*.03,Mindy told Chuck when to praise himself.
LI,,,,32.3.Culicover.22b.g.04,Robert told Lucy when to humiliate herself.,32.3.Culicover.22b.*.04,Robert told Lucy when to humiliate himself.
LI,,,,32.3.Culicover.22b.g.05,Stewart told Tina when to burn herself.,32.3.Culicover.22b.*.05,Stewart told Tina when to burn himself.
LI,,,,32.3.Culicover.22b.g.06,Brian told Rachel when to defend herself.,32.3.Culicover.22b.*.06,Brian told Rachel when to defend himself.
LI,,,,32.3.Culicover.22b.g.07,Patty told Mike when to insult himself.,32.3.Culicover.22b.*.07,Patty told Mike when to insult herself.
LI,,,,32.3.Culicover.22b.g.08,Olivia told Gregory when to exonerate himself.,32.3.Culicover.22b.*.08,Olivia told Gregory when to exonerate herself.
LI,,,,32.3.Culicover.25d.g.01,Last night there was an attempt to shoot me.,32.3.Culicover.25d.*.01,Last night there was an attempt to shoot oneself.
LI,,,,32.3.Culicover.25d.g.02,Last month there was a plan to promote me.,32.3.Culicover.25d.*.02,Last month there was a plan to promote oneself.
LI,,,,32.3.Culicover.25d.g.03,Last week there was a request to transfer me.,32.3.Culicover.25d.*.03,Last week there was a request to transfer oneself.
LI,,,,32.3.Culicover.25d.g.04,Last year there was a proposal to fire me.,32.3.Culicover.25d.*.04,Last year there was a proposal to fire oneself.
LI,,,,32.3.Culicover.25d.g.05,Last Monday there was a plot to annoy me.,32.3.Culicover.25d.*.05,Last Monday there was a plot to annoy oneself.
LI,,,,32.3.Culicover.25d.g.06,Last Tuesday there was an agreement to replace me.,32.3.Culicover.25d.*.06,Last Tuesday there was an agreement to replace oneself.
LI,,,,32.3.Culicover.25d.g.07,Last weekend there was a suggestion to uninvite me.,32.3.Culicover.25d.*.07,Last weekend there was a suggestion to uninvite oneself.
LI,,,,32.3.Culicover.25d.g.08,Last Friday there was an order to transfer me.,32.3.Culicover.25d.*.08,Last Friday there was an order to transfer oneself.
LI,,,,32.3.Culicover.28c.g.01,Helen examined Bernie in order for us to vindicate ourselves.,32.3.Culicover.28c.*.01,Helen examined Bernie in order for us to vindicate herself.
LI,,,,32.3.Culicover.28c.g.02,Nathan called Samantha in order for us to amuse ourselves.,32.3.Culicover.28c.*.02,Nathan called Samantha in order for us to amuse himself.
LI,,,,32.3.Culicover.28c.g.03,Austin left instructions in order for us to help ourselves.,32.3.Culicover.28c.*.03,Austin left instructions in order for us to help himself.
LI,,,,32.3.Culicover.28c.g.04,Emma brought video games in order for us to distract ourselves.,32.3.Culicover.28c.*.04,Emma brought video games in order for us to distract herself.
LI,,,,32.3.Culicover.28c.g.05,Allison bought board games in order for us to entertain ourselves.,32.3.Culicover.28c.*.05,Allison bought board games in order for us to entertain herself.
LI,,,,32.3.Culicover.28c.g.06,Edward created a website in order for us to promote ourselves.,32.3.Culicover.28c.*.06,Edward created a website in order for us to promote himself.
LI,,,,32.3.Culicover.28c.g.07,Cynthia threw a party in order for us to establish ourselves.,32.3.Culicover.28c.*.07,Cynthia threw a party in order for us to establish herself.
LI,,,,32.3.Culicover.28c.g.08,Gary interrupted the conversation in order for us to introduce ourselves.,32.3.Culicover.28c.*.08,Gary interrupted the conversation in order for us to introduce himself.
LI,,[not a full sentence],,32.3.Culicover.32a.g.01,John's promise to Susan to take care of himself.,32.3.Culicover.32a.*.01,John's promise to Susan to take care of herself.
