dataset,notes,typo?,id,sentence,judgement
LI,(ambiguous antecedent for she),,32.1.martin.27b.g.07,The father convinced the mother that she will have forgiven her daughter by the time she comes home for a visit.,-0.09484
LI,(ambiguous antecedent for he),,32.1.martin.27b.g.08,The principal convinced the teacher that he will have finished grading before he goes on vacation.,0.288705
LI,,,32.1.martin.28b.??.01,Sarah convinced Bill that he would have gone to the party by the time he goes to bed this evening.,-0.27659
LI,,,32.1.martin.28b.??.02,Celia convinced Brad that he would have eaten dinner by the time she gets home.,-0.06834
LI,,,32.1.martin.28b.??.03,Benny convinced Cindy that she would have gotten dressed by the time he wakes up.,-0.34457
LI,,,32.1.martin.28b.??.04,Cameron convinced Velma that she would have finished her coffee by the time the place closes.,0.259001
LI,,,32.1.martin.28b.??.05,Judy convinced Edith that she would have forgotten about Rick by the time Christmas comes around.,0.287725
LI,,,32.1.martin.28b.??.06,Jan convinced Emile that he would have gotten better by the time he has to go to school.,0.062502
LI,(ambiguous antecedent for she),,32.1.martin.28b.??.07,The father convinced the mother that she would have forgiven her daughter by the time she comes home for a visit.,0.157379
LI,(ambiguous antecedent for he),,32.1.martin.28b.??.08,The principal convinced the teacher that he would have finished grading before he goes on vacation.,0.043437
LI,,,32.1.martin.2c.*.01,Sarah saw pictures of.,-1.04705
LI,,,32.1.martin.2c.*.02,Jimmy saw baskets of.,-0.95677
LI,,,32.1.martin.2c.*.03,Brittany touched plenty of.,-1.19339
LI,,,32.1.martin.2c.*.04,Frank ate mountains of.,-0.83365
LI,,,32.1.martin.2c.*.05,Kat kept tons of.,-1.03173
LI,,,32.1.martin.2c.*.06,Phillip saw movies of.,-0.81429
LI,,,32.1.martin.2c.*.07,Vivian wrote stories of.,-0.89155
LI,,,32.1.martin.2c.*.08,Tommy pictured memories of.,-0.78961
LI,,,32.1.martin.39a.*.01,Gino believed Rebecca to win the game.,-0.21893
LI,,,32.1.martin.39a.*.02,Anthony believed Dawn to hit the ball.,-0.50627
LI,,,32.1.martin.39a.*.03,Charlene believed Shawn to write the paper.,-0.15995
LI,,,32.1.martin.39a.*.04,Marty believed Carla to fix the computer.,-0.47202
LI,,,32.1.martin.39a.*.05,Jessica believed Brad to start the car.,-0.97605
LI,,,32.1.martin.39a.*.06,Charles believed Faith to smash the bag.,-0.44764
LI,,,32.1.martin.39a.*.07,Lacey believed John to eat the food.,-0.37549
LI,,(prob. intended 'throw out'),32.1.martin.39a.*.08,Victor believed Dana to throw the trash.,-0.64556
LI,,,32.1.martin.65a.g.01,John believes without a doubt that his team will win.,1.164172
LI,,,32.1.martin.65a.g.02,Emma thought for a moment that her friend was at the door.,0.817146
LI,,,32.1.martin.65a.g.03,Bill heard from Sarah that their boss was fired.,0.760341
LI,(not an adjunct),,32.1.martin.65a.g.04,Ashley suggested to Michael that he should throw a party.,0.869297
LI,,,32.1.martin.65a.g.05,Thomas read in the paper that the stock market crashed.,1.338549
LI,,,32.1.martin.65a.g.06,Jessica saw on the news that Michael Jackson died.,1.201757
LI,,,32.1.martin.65a.g.07,David learned from the internet that Lindsay Lohan is back in rehab.,1.126778
LI,(not an adjunct),,32.1.martin.65a.g.08,Amanda hinted to Jack that there will be a pop quiz on Monday.,0.672269
LI,,,32.1.martin.65b.*.01,John believes without a doubt his team will win.,0.7505
LI,,,32.1.martin.65b.*.02,Emma thought for a moment her friend was at the door.,0.853551
LI,,,32.1.martin.65b.*.03,Bill heard from Sarah their boss was fired.,0.118511
LI,(not an adjunct),,32.1.martin.65b.*.04,Ashley suggested to Michael he should throw a party.,0.402501
LI,,,32.1.martin.65b.*.05,Thomas read in the paper the stock market crashed.,0.353333
LI,,,32.1.martin.65b.*.06,Jessica saw on the news Michael Jackson died.,0.753679
LI,,,32.1.martin.65b.*.07,David learned from the internet Lindsay Lohan is back in rehab.,0.289644
LI,(not an adjunct),,32.1.martin.65b.*.08,Amanda hinted to Jack there will be a pop quiz on Monday.,0.603252
LI,,,32.1.martin.66a.g.01,It is illegal for one to criticize the government.,1.118704
LI,,,32.1.martin.66a.g.02,It is not wise for one to skip class.,1.166691
LI,,,32.1.martin.66a.g.03,It is important for one to sleep regularly.,1.289358
LI,,,32.1.martin.66a.g.04,It is suspicious for one to wear black.,0.683753
LI,,,32.1.martin.66a.g.05,It is silly for one to sing in the shower.,0.79412
LI,,,32.1.martin.66a.g.06,It is possible for one to fix past mistakes.,1.228955
LI,,,32.1.martin.66a.g.07,It is normal for one to be afraid of the dentist.,1.237048
LI,,,32.1.martin.66a.g.08,It is unfair for one to judge the less fortunate.,0.940181
LI,,,32.1.martin.66b.*.01,It is illegal one to criticize the government.,-1.12556
LI,,,32.1.martin.66b.*.02,It is not wise one to skip class.,-0.80367
LI,,,32.1.martin.66b.*.03,It is important one to sleep regularly.,-0.59852
LI,,,32.1.martin.66b.*.04,It is suspicious one to wear black.,-0.78783
LI,,,32.1.martin.66b.*.05,It is silly one to sing in the shower.,-0.9315
LI,,,32.1.martin.66b.*.06,It is possible one to fix past mistakes.,-0.6143
LI,,,32.1.martin.66b.*.07,It is normal one to be afraid of the dentist.,-0.53423
LI,,,32.1.martin.66b.*.08,It is unfair one to judge the less fortunate.,-0.2102
LI,,,32.1.martin.69a.g.01,My belief that Kim is clever is sincere.,0.309097
LI,,,32.1.martin.69a.g.02,The thought that Brian is inept is accurate.,0.526496
LI,,,32.1.martin.69a.g.03,The announcement that Michelle is retiring surprised the office.,1.15567
LI,,,32.1.martin.69a.g.04,My discovery that Nick is a liar disappointed Miranda.,0.751846
LI,,,32.1.martin.69a.g.05,The expectation that Lauren will graduate is reasonable.,0.613785
LI,,,32.1.martin.69a.g.06,My suspicion that Adam is cheating is based on evidence.,0.952202
LI,,,32.1.martin.69a.g.07,Your assumption that Kelly is lying offended her mother.,0.788829
LI,,,32.1.martin.69a.g.08,Your allegation that Eric is untrustworthy is biased.,0.841643
LI,,,32.1.martin.69b.*.01,My belief Kim is clever is sincere.,-0.41073
LI,,,32.1.martin.69b.*.02,The thought Brian is inept is accurate.,-0.76039
LI,,,32.1.martin.69b.*.03,The announcement Michelle is retiring surprised the office.,0.371371
LI,,,32.1.martin.69b.*.04,My discovery Nick is a liar disappointed Miranda.,-0.59322
LI,,,32.1.martin.69b.*.05,The expectation Lauren will graduate is reasonable.,-0.05727
LI,,,32.1.martin.69b.*.06,My suspicion Adam is cheating is based on evidence.,0.230234
LI,,,32.1.martin.69b.*.07,Your assumption Kelly is lying offended her mother.,-0.09078
LI,,,32.1.martin.69b.*.08,Your allegation Eric is untrustworthy is biased.,-0.34407
LI,,,32.1.martin.77.g.01,How likely to win the race is John?,0.149515
LI,,,32.1.martin.77.g.02,How likely to get the promotion is Elizabeth?,-0.20146
LI,,,32.1.martin.77.g.03,How likely to win the election is Kristin?,-0.04613
LI,,,32.1.martin.77.g.04,How likely to buy the car is Sam?,-0.20372
LI,,,32.1.martin.77.g.05,How likely to sell the house is Diane?,-0.09629
LI,,,32.1.martin.77.g.06,How likely to pass the class is Alex?,-0.08964
LI,,,32.1.martin.77.g.07,How likely to break the record is Ellen?,-0.26802
LI,,,32.1.martin.77.g.08,How likely to take the job is Nancy?,-0.4246
LI,,,32.1.martin.79.*.01,How likely to be a riot is there?,-0.21813
LI,,,32.1.martin.79.*.02,How likely to be a meeting is there?,-0.45839
LI,,,32.1.martin.79.*.03,How likely to be a strike is there?,-0.19966
LI,,,32.1.martin.79.*.04,How likely to be a party is there?,-0.29956
LI,,,32.1.martin.79.*.05,How likely to be a stock market crash is there?,-0.2291
LI,,,32.1.martin.79.*.06,How likely to be a storm is there?,-0.62057
LI,,,32.1.martin.79.*.07,How likely to be an earthquake is there?,-0.70376
LI,,,32.1.martin.79.*.08,How likely to be a tornado is there?,-0.48004
LI,,,32.1.martin.92b.g.01,John is believed to have parked here.,0.517591
LI,,,32.1.martin.92b.g.02,Linda is certain to have passed the test.,0.983559
LI,,,32.1.martin.92b.g.03,Steven is likely to have gone for a walk.,0.874744
LI,,,32.1.martin.92b.g.04,Maria is bound to have finished her homework.,0.873003
LI,,,32.1.martin.92b.g.05,Eddie seems to have painted the portrait.,1.263376
LI,,,32.1.martin.92b.g.06,Kelsey appears to have left early.,1.118889
LI,,,32.1.martin.92b.g.07,Dylan seems to have written the computer program.,0.880758
LI,,,32.1.martin.92b.g.08,Carla appears to have graduated high school.,0.973291
LI,,,32.1.martin.93b.*.01,John is illegal to park here.,-0.98005
LI,,,32.1.martin.93b.*.02,Linda is possible to pass the test.,-0.76694
LI,,,32.1.martin.93b.*.03,Steven is necessary to go for a walk.,-0.9162
LI,,,32.1.martin.93b.*.04,Maria is important to finish her homework.,-0.82266
LI,,,32.1.martin.93b.*.05,Eddie was tried to paint the portrait.,-0.91177
LI,,,32.1.martin.93b.*.06,Kelsey was attempted to leave early.,-0.80436
LI,(sounds better?),,32.1.martin.93b.*.07,Dylan was planned to write the computer program.,-0.48072
LI,,,32.1.martin.93b.*.08,Carla was hoped to graduate high school.,-0.63405
LI,,,32.2.alexiadou.31a.*.01,Don't touch that dial! suggested abruptly the TV screen.,-0.19505
LI,,,32.2.alexiadou.31a.*.02,Wait one moment please! asked kindly the voice recording.,-0.16379
LI,,,32.2.alexiadou.31a.*.03,This just in! interrupted hastily the radio announcer.,0.007621
LI,,,32.2.alexiadou.31a.*.04,"Ready, aim, fire! directed strictly the army sergeant.",0.162244
LI,,,32.2.alexiadou.31a.*.05,Click it or Ticket! flashed brightly the freeway sign.,-0.07465
LI,,,32.2.alexiadou.31a.*.06,Stop bullying me! shouted fearfully the overweight child.,0.098277
LI,,,32.2.alexiadou.31a.*.07,Touchdown! screamed excitedly the football fan.,-0.39443
LI,,,32.2.alexiadou.31a.*.08,Clear! exclaimed worriedly the doctor.,-0.68888
LI,,,32.2.alexiadou.31b.g.01,Don't touch that dial! suggested the TV screen abruptly.,0.891372
LI,,,32.2.alexiadou.31b.g.02,Wait one moment please! asked the voice recording kindly.,0.510407
LI,,,32.2.alexiadou.31b.g.03,This just in! interrupted the radio announcer hastily.,0.950761
LI,,,32.2.alexiadou.31b.g.04,"Ready, aim, fire! directed the army sergeant strictly.",0.632443
LI,,,32.2.alexiadou.31b.g.05,Click it or Ticket! flashed the freeway sign brightly.,0.7828
LI,,,32.2.alexiadou.31b.g.06,Stop bullying me! shouted the overweight child fearfully.,1.082295
LI,,,32.2.alexiadou.31b.g.07,Touchdown! screamed the football fan excitedly.,0.991132
LI,,,32.2.alexiadou.31b.g.08,Clear! exclaimed the doctor worriedly.,0.401073
LI,,,32.2.boeckx.11.*.01,"Debbie ate chocolate, and Kathy milk drank.",-0.43086
LI,,,32.2.boeckx.11.*.02,"Ryan read the sports page, and Sandra the news watched.",-1.10813
LI,,,32.2.boeckx.11.*.03,"Jack washed the dishes, and Kate the laundry folded.",-0.50979
LI,,,32.2.boeckx.11.*.04,"Laura set the table, and Sharon the cake baked.",-0.63439
LI,,,32.2.boeckx.11.*.05,"Mark turned on the TV, and Penny the DVD player loaded.",-0.82332
LI,,,32.2.boeckx.11.*.06,"Jason drove his car, and Tara her bike rode.",-0.80843
LI,,,32.2.boeckx.11.*.07,"Andy ordered a cheeseburger, and Bill another drink requested.",-0.69723
LI,,,32.2.boeckx.11.*.08,"Heather dusted the shelves, and Madison the carpet vacuumed.",-0.60655
LI,,,32.2.boeckx.11.g.01,"Debbie ate chocolate, and Kathy drank milk.",1.578532
LI,,,32.2.boeckx.11.g.02,"Ryan read the sports page, and Sandra watched the news.",1.086653
LI,,,32.2.boeckx.11.g.03,"Jack washed the dishes, and Kate folded the laundry.",1.354139
LI,,,32.2.boeckx.11.g.04,"Laura set the table, and Sharon baked the cake.",1.100077
LI,,,32.2.boeckx.11.g.05,"Mark turned on the TV, and Penny loaded the DVD player.",0.9792
LI,,,32.2.boeckx.11.g.06,"Jason drove his car, and Tara rode her bike.",1.285638
LI,,,32.2.boeckx.11.g.07,"Andy ordered a cheeseburger, and Bill requested another drink.",0.7718
LI,,,32.2.boeckx.11.g.08,"Heather dusted the shelves, and Madison vacuumed the carpet.",1.150296
LI,same control item numbers as for nunes.3c.* but different items,,32.2.nunes.3a1.g.01,John was kissed.,1.049803
LI,,,32.2.nunes.3a1.g.02,Marcie was fired.,1.075688
LI,,,32.2.nunes.3a1.g.03,Linda was hired.,1.400059
LI,,,32.2.nunes.3a1.g.04,Dale was suspended.,1.175173
LI,,,32.2.nunes.3a1.g.05,Caroline was congratulated.,0.516374
LI,,,32.2.nunes.3a1.g.06,Steve was scolded.,1.17229
LI,,,32.2.nunes.3a1.g.07,Hillary was interviewed.,0.668491
LI,,,32.2.nunes.3a1.g.08,Annie was insulted.,1.103356
LI,,,32.2.nunes.3a2.g.01,John was kissed.,0.5004
LI,,,32.2.nunes.3a2.g.02,The book was read.,0.460337
LI,,,32.2.nunes.3a2.g.03,The laundry was folded.,1.152808
LI,,,32.2.nunes.3a2.g.04,The money was stolen.,1.528466
LI,,,32.2.nunes.3a2.g.05,The hedges were trimmed.,1.40304
LI,,,32.2.nunes.3a2.g.06,Kelly was praised.,0.765042
LI,,,32.2.nunes.3a2.g.07,Tommy was punished.,1.107634
LI,,,32.2.nunes.3a2.g.08,Abigail was promoted.,1.453103
LI,,,32.2.nunes.3b.*.01,Was kissed John.,-0.95133
LI,,,32.2.nunes.3b.*.02,Was fired Marcie.,-1.24272
LI,,,32.2.nunes.3b.*.03,Was hired Linda.,-1.15352
LI,,,32.2.nunes.3b.*.04,Was suspended Dale.,-1.03259
LI,,,32.2.nunes.3b.*.05,Was congratulated Caroline.,-0.81495
LI,,,32.2.nunes.3b.*.06,Was scolded Steve.,-1.22881
LI,,,32.2.nunes.3b.*.07,Was interviewed Hillary.,-1.10482
LI,,,32.2.nunes.3b.*.08,Was insulted Annie.,-1.25445
LI,,,32.2.nunes.3c.*.01,John was kissed John.,-1.34727
LI,"(dbl obj verb, syntax OK)",,32.2.nunes.3c.*.02,The book was read the book.,-1.31958
LI,,,32.2.nunes.3c.*.03,The laundry was folded the laundry.,-1.43051
LI,,,32.2.nunes.3c.*.04,The money was stolen the money.,-1.214
LI,,,32.2.nunes.3c.*.05,The hedges were trimmed the hedges.,-1.37797
LI,,,32.2.nunes.3c.*.06,Kelly was praised Kelly.,-1.38381
LI,,,32.2.nunes.3c.*.07,Tommy was punished Tommy.,-1.14827
LI,,,32.2.nunes.3c.*.08,Abigail was promoted Abigail.,-1.09568
LI,,,32.2.nunes.48b.*.01,Mary drove Rio and John flew to Sao Paulo.,-0.26421
LI,,,32.2.nunes.48b.*.02,Luke swam the shore and Gabrielle swam to the boat.,-0.23606
LI,,,32.2.nunes.48b.*.03,Angela biked the store and Sean walked to the park.,-0.55278
LI,,,32.2.nunes.48b.*.04,Daniel jogged the gym and Kayla walked to the restaurant.,0.424675
LI,,,32.2.nunes.48b.*.05,Beth hitchhiked Los Angeles and Robert drove to San Diego.,-0.05362
LI,,,32.2.nunes.48b.*.06,Paul flew Ireland and Laura sailed to Greece.,-0.24693
LI,,,32.2.nunes.48b.*.07,Shannon walked school and Corey biked to practice.,-0.54793
LI,(sounds good as measure phrase),,32.2.nunes.48b.*.08,Mark sailed the Caribbean and Cathy flew to the Mediterranean.,0.650261
LI,,,32.2.nunes.48b.g.01,Mary drove to Rio and John flew to Sao Paulo.,1.232367
LI,,,32.2.nunes.48b.g.02,Luke swam to the shore and Gabrielle swam to the boat.,0.853366
LI,,,32.2.nunes.48b.g.03,Angela biked to the store and Sean walked to the park.,0.688612
LI,,,32.2.nunes.48b.g.04,Daniel jogged to the gym and Kayla walked to the restaurant.,0.936799
LI,,,32.2.nunes.48b.g.05,Beth hitchhiked to Los Angeles and Robert drove to San Diego.,1.162588
LI,,,32.2.nunes.48b.g.06,Paul flew to Ireland and Laura sailed to Greece.,0.968483
LI,,,32.2.nunes.48b.g.07,Shannon walked to school and Corey biked to practice.,0.62377
LI,,,32.2.nunes.48b.g.08,Mark sailed to the Caribbean and Cathy flew to the Mediterranean.,0.95911
LI,,,32.2.stroik.13a.g.01,They all have left and they have all done so deliberately.,0.107299
LI,,,32.2.stroik.13a.g.02,They all have eaten and they have all done so quickly.,-0.18339
LI,,,32.2.stroik.13a.g.03,They all have finished and they have all done so efficiently.,0.199486
LI,,,32.2.stroik.13a.g.04,They all have helped and they have all done so generously.,0.755128
LI,,,32.2.stroik.13a.g.05,They all have practiced and they have all done so regularly.,0.023422
LI,,,32.2.stroik.13a.g.06,They all have studied and they have all done so effectively.,0.511212
LI,,,32.2.stroik.13a.g.07,They all have spoken and they have all done so eloquently.,0.523527
LI,,,32.2.stroik.13a.g.08,They all have listened and they have all done so intently.,0.247847
LI,,,32.2.stroik.13b.*.01,They all have left and they have done all so deliberately.,-0.15279
LI,,,32.2.stroik.13b.*.02,They all have eaten and they have done all so quickly.,-0.69219
LI,,,32.2.stroik.13b.*.03,They all have finished and they have done all so efficiently.,0.395556
LI,,,32.2.stroik.13b.*.04,They all have helped and they have done all so generously.,-0.25213
LI,,,32.2.stroik.13b.*.05,They all have practiced and they have done all so regularly.,-0.4508
LI,,,32.2.stroik.13b.*.06,They all have studied and they have done all so effectively.,0.230192
LI,,,32.2.stroik.13b.*.07,They all have spoken and they have done all so eloquently.,0.016041
LI,,,32.2.stroik.13b.*.08,They all have listened and they have done all so intently.,-0.06772
LI,,,32.2.stroik.17a.*.01,"Chris is happy, and Pat does so too.",-0.7157
LI,,,32.2.stroik.17a.*.02,"Frank is foolish, and Alexis does so too.",-0.65381
LI,,,32.2.stroik.17a.*.03,"Artemis is grumpy, and Toni does so too.",-1.0804
LI,,,32.2.stroik.17a.*.04,"Arty is sick, and Mark does so too.",-0.93966
LI,,,32.2.stroik.17a.*.05,"Joanne is jealous, and Annie does so too.",-1.11536
LI,,,32.2.stroik.17a.*.06,"Fritz is uncomfortable, and Frannie does so too.",-0.8784
LI,,,32.2.stroik.17a.*.07,"Clive is nervous, and Kirsten does so too.",-1.16754
LI,,,32.2.stroik.17a.*.08,"Orin is skinny, and Jamal does so too.",-1.01323
LI,,,32.2.stroik.17a.g.01,"Chris is happy, and Pat is too.",0.871384
LI,,,32.2.stroik.17a.g.02,"Frank is foolish, and Alexis is too.",0.892201
LI,,,32.2.stroik.17a.g.03,"Artemis is grumpy, and Toni is too.",0.621215
LI,,,32.2.stroik.17a.g.04,"Arty is sick, and Mark is too.",1.097903
LI,,,32.2.stroik.17a.g.05,"Joanne is jealous, and Annie is too.",0.999264
LI,,,32.2.stroik.17a.g.06,"Fritz is uncomfortable, and Frannie is too.",0.890731
LI,,,32.2.stroik.17a.g.07,"Clive is nervous, and Kirsten is too.",0.951013
LI,,,32.2.stroik.17a.g.08,"Orin is skinny, and Jamal is too.",0.643289
LI,,,32.2.stroik.4a.g.01,"Max may have been studying, but Jason may have been doing so too.",0.175949
LI,,,32.2.stroik.4a.g.02,"Tiffany may have been reading, but Melissa may have been doing so too.",0.217727
LI,,,32.2.stroik.4a.g.03,"Derek may have been sleeping, but Travis may have been doing so too.",0.389513
LI,,,32.2.stroik.4a.g.04,"Kate may have been driving, but Rebecca may have been doing so too.",0.182017
LI,,,32.2.stroik.4a.g.05,"David may have been skiing, but William may have been doing so too.",0.145014
LI,,,32.2.stroik.4a.g.06,"Cecilia may have been dancing, but Ariel may have been doing so too.",0.209788
LI,,,32.2.stroik.4a.g.07,"Richard may have been hiding, but Blake may have been doing so too.",0.183477
LI,,,32.2.stroik.4a.g.08,"Alicia may have been shopping, but Sally may have been doing so too.",-0.0947
LI,,,32.2.stroik.4b.*.01,"Max may have been studying, but Jason may have done so too.",-0.34428
LI,,,32.2.stroik.4b.*.02,"Tiffany may have been reading, but Melissa may have done so too.",-0.05958
LI,,,32.2.stroik.4b.*.03,"Derek may have been sleeping, but Travis may have done so too.",-0.08126
LI,,,32.2.stroik.4b.*.04,"Kate may have been driving, but Rebecca may have done so too.",-0.00379
LI,,,32.2.stroik.4b.*.05,"David may have been skiing, but William may have done so too.",-0.0474
LI,,,32.2.stroik.4b.*.06,"Cecilia may have been dancing, but Ariel may have done so too.",0.280347
LI,,,32.2.stroik.4b.*.07,"Richard may have been hiding, but Blake may have done so too.",-0.0773
LI,,,32.2.stroik.4b.*.08,"Alicia may have been shopping, but Sally may have done so too.",-0.02895
LI,,,32.3.Culicover.15bii.*.01,John flattered Mary while insulting herself.,-0.49146
LI,,,32.3.Culicover.15bii.*.02,Amber called Anthony after injuring himself.,0.085024
LI,,,32.3.Culicover.15bii.*.03,Tim complimented Hannah after introducing herself.,0.216835
LI,,,32.3.Culicover.15bii.*.04,Tina aggravated Ethan while amusing himself.,-0.26386
LI,,,32.3.Culicover.15bii.*.05,Natalie surprised Jared while boring himself.,-0.55598
LI,(can Dale be a female name?),,32.3.Culicover.15bii.*.06,Dale found Brooke after frightening herself.,0.052485
LI,,,32.3.Culicover.15bii.*.07,Molly avoided Keith after embarrassing himself.,-0.28675
LI,,,32.3.Culicover.15bii.*.08,Josh annoyed Paige while distracting herself.,-0.399
LI,,,32.3.Culicover.15bii.g.01,John flattered Mary while insulting himself.,0.239413
LI,,,32.3.Culicover.15bii.g.02,Amber called Anthony after injuring herself.,0.87037
LI,,,32.3.Culicover.15bii.g.03,Tim complimented Hannah after introducing himself.,0.55004
LI,,,32.3.Culicover.15bii.g.04,Tina aggravated Ethan while amusing herself.,0.639367
LI,,,32.3.Culicover.15bii.g.05,Natalie surprised Jared while boring herself.,-0.36279
LI,,,32.3.Culicover.15bii.g.06,Dale found Brooke after frightening himself.,-0.40158
LI,,,32.3.Culicover.15bii.g.07,Molly avoided Keith after embarrassing herself.,0.808646
LI,,,32.3.Culicover.15bii.g.08,Josh annoyed Paige while distracting himself.,0.36645
LI,,,32.3.Culicover.22b.*.01,John told Sue when to wash himself.,-0.07279
