dataset,notes,typo?,id,sentence,sent_length
LI,(not an adjunct),,32.1.martin.65a.g.04,Ashley suggested to Michael that he should throw a party.,12
LI,,,32.1.martin.65a.g.05,Thomas read in the paper that the stock market crashed.,12
LI,,,32.1.martin.65a.g.06,Jessica saw on the news that Michael Jackson died.,11
LI,,,32.1.martin.65a.g.07,David learned from the internet that Lindsay Lohan is back in rehab.,14
LI,(not an adjunct),,32.1.martin.65a.g.08,Amanda hinted to Jack that there will be a pop quiz on Monday.,15
LI,,,32.1.martin.65b.*.01,John believes without a doubt his team will win.,11
LI,,,32.1.martin.65b.*.02,Emma thought for a moment her friend was at the door.,13
LI,,,32.1.martin.65b.*.03,Bill heard from Sarah their boss was fired.,10
LI,(not an adjunct),,32.1.martin.65b.*.04,Ashley suggested to Michael he should throw a party.,11
LI,,,32.1.martin.65b.*.05,Thomas read in the paper the stock market crashed.,11
LI,,,32.1.martin.65b.*.06,Jessica saw on the news Michael Jackson died.,10
LI,,,32.1.martin.65b.*.07,David learned from the internet Lindsay Lohan is back in rehab.,13
LI,(not an adjunct),,32.1.martin.65b.*.08,Amanda hinted to Jack there will be a pop quiz on Monday.,14
LI,,,32.1.martin.66a.g.01,It is illegal for one to criticize the government.,11
LI,,,32.1.martin.66a.g.02,It is not wise for one to skip class.,11
LI,,,32.1.martin.66a.g.03,It is important for one to sleep regularly.,10
LI,,,32.1.martin.66a.g.04,It is suspicious for one to wear black.,10
LI,,,32.1.martin.66a.g.05,It is silly for one to sing in the shower.,12
LI,,,32.1.martin.66a.g.06,It is possible for one to fix past mistakes.,11
LI,,,32.1.martin.66a.g.07,It is normal for one to be afraid of the dentist.,13
LI,,,32.1.martin.66a.g.08,It is unfair for one to judge the less fortunate.,12
LI,,,32.1.martin.66b.*.01,It is illegal one to criticize the government.,10
LI,,,32.1.martin.66b.*.02,It is not wise one to skip class.,10
LI,,,32.1.martin.66b.*.03,It is important one to sleep regularly.,9
LI,,,32.1.martin.66b.*.04,It is suspicious one to wear black.,9
LI,,,32.1.martin.66b.*.05,It is silly one to sing in the shower.,11
LI,,,32.1.martin.66b.*.06,It is possible one to fix past mistakes.,10
LI,,,32.1.martin.66b.*.07,It is normal one to be afraid of the dentist.,12
LI,,,32.1.martin.66b.*.08,It is unfair one to judge the less fortunate.,11
LI,,,32.1.martin.69a.g.01,My belief that Kim is clever is sincere.,10
LI,,,32.1.martin.69a.g.02,The thought that Brian is inept is accurate.,10
LI,,,32.1.martin.69a.g.03,The announcement that Michelle is retiring surprised the office.,11
LI,,,32.1.martin.69a.g.04,My discovery that Nick is a liar disappointed Miranda.,11
LI,,,32.1.martin.69a.g.05,The expectation that Lauren will graduate is reasonable.,10
LI,,,32.1.martin.69a.g.06,My suspicion that Adam is cheating is based on evidence.,12
LI,,,32.1.martin.69a.g.07,Your assumption that Kelly is lying offended her mother.,11
LI,,,32.1.martin.69a.g.08,Your allegation that Eric is untrustworthy is biased.,10
LI,,,32.1.martin.69b.*.01,My belief Kim is clever is sincere.,9
LI,,,32.1.martin.69b.*.02,The thought Brian is inept is accurate.,9
LI,,,32.1.martin.69b.*.03,The announcement Michelle is retiring surprised the office.,10
LI,,,32.1.martin.69b.*.04,My discovery Nick is a liar disappointed Miranda.,10
LI,,,32.1.martin.69b.*.05,The expectation Lauren will graduate is reasonable.,9
LI,,,32.1.martin.69b.*.06,My suspicion Adam is cheating is based on evidence.,11
LI,,,32.1.martin.69b.*.07,Your assumption Kelly is lying offended her mother.,10
LI,,,32.1.martin.69b.*.08,Your allegation Eric is untrustworthy is biased.,9
LI,,,32.1.martin.77.g.01,How likely to win the race is John?,10
LI,,,32.1.martin.77.g.02,How likely to get the promotion is Elizabeth?,10
LI,,,32.1.martin.77.g.03,How likely to win the election is Kristin?,10
LI,,,32.1.martin.77.g.04,How likely to buy the car is Sam?,10
LI,,,32.1.martin.77.g.05,How likely to sell the house is Diane?,10
LI,,,32.1.martin.77.g.06,How likely to pass the class is Alex?,10
LI,,,32.1.martin.77.g.07,How likely to break the record is Ellen?,10
LI,,,32.1.martin.77.g.08,How likely to take the job is Nancy?,10
LI,,,32.1.martin.79.*.01,How likely to be a riot is there?,10
LI,,,32.1.martin.79.*.02,How likely to be a meeting is there?,10
LI,,,32.1.martin.79.*.03,How likely to be a strike is there?,10
LI,,,32.1.martin.79.*.04,How likely to be a party is there?,10
LI,,,32.1.martin.79.*.05,How likely to be a stock market crash is there?,12
LI,,,32.1.martin.79.*.06,How likely to be a storm is there?,10
LI,,,32.1.martin.79.*.07,How likely to be an earthquake is there?,10
LI,,,32.1.martin.79.*.08,How likely to be a tornado is there?,10
LI,,,32.1.martin.92b.g.01,John is believed to have parked here.,9
LI,,,32.1.martin.92b.g.02,Linda is certain to have passed the test.,10
LI,,,32.1.martin.92b.g.03,Steven is likely to have gone for a walk.,11
LI,,,32.1.martin.92b.g.04,Maria is bound to have finished her homework.,10
LI,,,32.1.martin.92b.g.05,Eddie seems to have painted the portrait.,9
LI,,,32.1.martin.92b.g.06,Kelsey appears to have left early.,8
LI,,,32.1.martin.92b.g.07,Dylan seems to have written the computer program.,10
LI,,,32.1.martin.92b.g.08,Carla appears to have graduated high school.,9
LI,,,32.1.martin.93b.*.01,John is illegal to park here.,8
LI,,,32.1.martin.93b.*.02,Linda is possible to pass the test.,9
LI,,,32.1.martin.93b.*.03,Steven is necessary to go for a walk.,10
LI,,,32.1.martin.93b.*.04,Maria is important to finish her homework.,9
LI,,,32.1.martin.93b.*.05,Eddie was tried to paint the portrait.,9
LI,,,32.1.martin.93b.*.06,Kelsey was attempted to leave early.,8
LI,(sounds better?),,32.1.martin.93b.*.07,Dylan was planned to write the computer program.,10
LI,,,32.1.martin.93b.*.08,Carla was hoped to graduate high school.,9
LI,,,32.2.alexiadou.31a.*.01,Don't touch that dial! suggested abruptly the TV screen.,11
LI,,,32.2.alexiadou.31a.*.02,Wait one moment please! asked kindly the voice recording.,11
LI,,,32.2.alexiadou.31a.*.03,This just in! interrupted hastily the radio announcer.,10
LI,,,32.2.alexiadou.31a.*.04,"Ready, aim, fire! directed strictly the army sergeant.",10
LI,,,32.2.alexiadou.31a.*.05,Click it or Ticket! flashed brightly the freeway sign.,11
LI,,,32.2.alexiadou.31a.*.06,Stop bullying me! shouted fearfully the overweight child.,10
LI,,,32.2.alexiadou.31a.*.07,Touchdown! screamed excitedly the football fan.,8
LI,,,32.2.alexiadou.31a.*.08,Clear! exclaimed worriedly the doctor.,7
LI,,,32.2.alexiadou.31b.g.01,Don't touch that dial! suggested the TV screen abruptly.,11
LI,,,32.2.alexiadou.31b.g.02,Wait one moment please! asked the voice recording kindly.,11
LI,,,32.2.alexiadou.31b.g.03,This just in! interrupted the radio announcer hastily.,10
LI,,,32.2.alexiadou.31b.g.04,"Ready, aim, fire! directed the army sergeant strictly.",10
LI,,,32.2.alexiadou.31b.g.05,Click it or Ticket! flashed the freeway sign brightly.,11
LI,,,32.2.alexiadou.31b.g.06,Stop bullying me! shouted the overweight child fearfully.,10
LI,,,32.2.alexiadou.31b.g.07,Touchdown! screamed the football fan excitedly.,8
LI,,,32.2.alexiadou.31b.g.08,Clear! exclaimed the doctor worriedly.,7
LI,,,32.2.boeckx.11.*.01,"Debbie ate chocolate, and Kathy milk drank.",9
LI,,,32.2.boeckx.11.*.02,"Ryan read the sports page, and Sandra the news watched.",12
LI,,,32.2.boeckx.11.*.03,"Jack washed the dishes, and Kate the laundry folded.",11
LI,,,32.2.boeckx.11.*.04,"Laura set the table, and Sharon the cake baked.",11
LI,,,32.2.boeckx.11.*.05,"Mark turned on the TV, and Penny the DVD player loaded.",13
LI,,,32.2.boeckx.11.*.06,"Jason drove his car, and Tara her bike rode.",11
LI,,,32.2.boeckx.11.*.07,"Andy ordered a cheeseburger, and Bill another drink requested.",11
LI,,,32.2.boeckx.11.*.08,"Heather dusted the shelves, and Madison the carpet vacuumed.",11
LI,,,32.2.boeckx.11.g.01,"Debbie ate chocolate, and Kathy drank milk.",9
LI,,,32.2.boeckx.11.g.02,"Ryan read the sports page, and Sandra watched the news.",12
LI,,,32.2.boeckx.11.g.03,"Jack washed the dishes, and Kate folded the laundry.",11
LI,,,32.2.boeckx.11.g.04,"Laura set the table, and Sharon baked the cake.",11
LI,,,32.2.boeckx.11.g.05,"Mark turned on the TV, and Penny loaded the DVD player.",13
LI,,,32.2.boeckx.11.g.06,"Jason drove his car, and Tara rode her bike.",11
LI,,,32.2.boeckx.11.g.07,"Andy ordered a cheeseburger, and Bill requested another drink.",11
LI,,,32.2.boeckx.11.g.08,"Heather dusted the shelves, and Madison vacuumed the carpet.",11
LI,same control item numbers as for nunes.3c.* but different items,,32.2.nunes.3a1.g.01,John was kissed.,5
LI,,,32.2.nunes.3a1.g.02,Marcie was fired.,5
LI,,,32.2.nunes.3a1.g.03,Linda was hired.,5
LI,,,32.2.nunes.3a1.g.04,Dale was suspended.,5
LI,,,32.2.nunes.3a1.g.05,Caroline was congratulated.,5
LI,,,32.2.nunes.3a1.g.06,Steve was scolded.,5
LI,,,32.2.nunes.3a1.g.07,Hillary was interviewed.,5
LI,,,32.2.nunes.3a1.g.08,Annie was insulted.,5
LI,,,32.2.nunes.3a2.g.01,John was kissed.,5
LI,,,32.2.nunes.3a2.g.02,The book was read.,6
LI,,,32.2.nunes.3a2.g.03,The laundry was folded.,6
LI,,,32.2.nunes.3a2.g.04,The money was stolen.,6
LI,,,32.2.nunes.3a2.g.05,The hedges were trimmed.,6
LI,,,32.2.nunes.3a2.g.06,Kelly was praised.,5
LI,,,32.2.nunes.3a2.g.07,Tommy was punished.,5
LI,,,32.2.nunes.3a2.g.08,Abigail was promoted.,5
LI,,,32.2.nunes.3b.*.01,Was kissed John.,5
LI,,,32.2.nunes.3b.*.02,Was fired Marcie.,5
LI,,,32.2.nunes.3b.*.03,Was hired Linda.,5
LI,,,32.2.nunes.3b.*.04,Was suspended Dale.,5
LI,,,32.2.nunes.3b.*.05,Was congratulated Caroline.,5
LI,,,32.2.nunes.3b.*.06,Was scolded Steve.,5
LI,,,32.2.nunes.3b.*.07,Was interviewed Hillary.,5
LI,,,32.2.nunes.3b.*.08,Was insulted Annie.,5
LI,,,32.2.nunes.3c.*.01,John was kissed John.,6
LI,"(dbl obj verb, syntax OK)",,32.2.nunes.3c.*.02,The book was read the book.,8
LI,,,32.2.nunes.3c.*.03,The laundry was folded the laundry.,8
LI,,,32.2.nunes.3c.*.04,The money was stolen the money.,8
LI,,,32.2.nunes.3c.*.05,The hedges were trimmed the hedges.,8
LI,,,32.2.nunes.3c.*.06,Kelly was praised Kelly.,6
LI,,,32.2.nunes.3c.*.07,Tommy was punished Tommy.,6
LI,,,32.2.nunes.3c.*.08,Abigail was promoted Abigail.,6
LI,,,32.2.nunes.48b.*.01,Mary drove Rio and John flew to Sao Paulo.,11
LI,,,32.2.nunes.48b.*.02,Luke swam the shore and Gabrielle swam to the boat.,12
LI,,,32.2.nunes.48b.*.03,Angela biked the store and Sean walked to the park.,12
LI,,,32.2.nunes.48b.*.04,Daniel jogged the gym and Kayla walked to the restaurant.,12
LI,,,32.2.nunes.48b.*.05,Beth hitchhiked Los Angeles and Robert drove to San Diego.,12
LI,,,32.2.nunes.48b.*.06,Paul flew Ireland and Laura sailed to Greece.,10
LI,,,32.2.nunes.48b.*.07,Shannon walked school and Corey biked to practice.,10
LI,(sounds good as measure phrase),,32.2.nunes.48b.*.08,Mark sailed the Caribbean and Cathy flew to the Mediterranean.,12
LI,,,32.2.nunes.48b.g.01,Mary drove to Rio and John flew to Sao Paulo.,12
LI,,,32.2.nunes.48b.g.02,Luke swam to the shore and Gabrielle swam to the boat.,13
LI,,,32.2.nunes.48b.g.03,Angela biked to the store and Sean walked to the park.,13
LI,,,32.2.nunes.48b.g.04,Daniel jogged to the gym and Kayla walked to the restaurant.,13
LI,,,32.2.nunes.48b.g.05,Beth hitchhiked to Los Angeles and Robert drove to San Diego.,13
LI,,,32.2.nunes.48b.g.06,Paul flew to Ireland and Laura sailed to Greece.,11
LI,,,32.2.nunes.48b.g.07,Shannon walked to school and Corey biked to practice.,11
LI,,,32.2.nunes.48b.g.08,Mark sailed to the Caribbean and Cathy flew to the Mediterranean.,13
LI,,,32.2.stroik.13a.g.01,They all have left and they have all done so deliberately.,13
LI,,,32.2.stroik.13a.g.02,They all have eaten and they have all done so quickly.,13
LI,,,32.2.stroik.13a.g.03,They all have finished and they have all done so efficiently.,13
LI,,,32.2.stroik.13a.g.04,They all have helped and they have all done so generously.,13
LI,,,32.2.stroik.13a.g.05,They all have practiced and they have all done so regularly.,13
LI,,,32.2.stroik.13a.g.06,They all have studied and they have all done so effectively.,13
LI,,,32.2.stroik.13a.g.07,They all have spoken and they have all done so eloquently.,13
LI,,,32.2.stroik.13a.g.08,They all have listened and they have all done so intently.,13
LI,,,32.2.stroik.13b.*.01,They all have left and they have done all so deliberately.,13
LI,,,32.2.stroik.13b.*.02,They all have eaten and they have done all so quickly.,13
LI,,,32.2.stroik.13b.*.03,They all have finished and they have done all so efficiently.,13
LI,,,32.2.stroik.13b.*.04,They all have helped and they have done all so generously.,13
LI,,,32.2.stroik.13b.*.05,They all have practiced and they have done all so regularly.,13
LI,,,32.2.stroik.13b.*.06,They all have studied and they have done all so effectively.,13
LI,,,32.2.stroik.13b.*.07,They all have spoken and they have done all so eloquently.,13
LI,,,32.2.stroik.13b.*.08,They all have listened and they have done all so intently.,13
LI,,,32.2.stroik.17a.*.01,"Chris is happy, and Pat does so too.",10
LI,,,32.2.stroik.17a.*.02,"Frank is foolish, and Alexis does so too.",10
LI,,,32.2.stroik.17a.*.03,"Artemis is grumpy, and Toni does so too.",10
LI,,,32.2.stroik.17a.*.04,"Arty is sick, and Mark does so too.",10
LI,,,32.2.stroik.17a.*.05,"Joanne is jealous, and Annie does so too.",10
LI,,,32.2.stroik.17a.*.06,"Fritz is uncomfortable, and Frannie does so too.",10
LI,,,32.2.stroik.17a.*.07,"Clive is nervous, and Kirsten does so too.",10
LI,,,32.2.stroik.17a.*.08,"Orin is skinny, and Jamal does so too.",10
LI,,,32.2.stroik.17a.g.01,"Chris is happy, and Pat is too.",9
LI,,,32.2.stroik.17a.g.02,"Frank is foolish, and Alexis is too.",9
LI,,,32.2.stroik.17a.g.03,"Artemis is grumpy, and Toni is too.",9
LI,,,32.2.stroik.17a.g.04,"Arty is sick, and Mark is too.",9
LI,,,32.2.stroik.17a.g.05,"Joanne is jealous, and Annie is too.",9
LI,,,32.2.stroik.17a.g.06,"Fritz is uncomfortable, and Frannie is too.",9
LI,,,32.2.stroik.17a.g.07,"Clive is nervous, and Kirsten is too.",9
LI,,,32.2.stroik.17a.g.08,"Orin is skinny, and Jamal is too.",9
LI,,,32.2.stroik.4a.g.01,"Max may have been studying, but Jason may have been doing so too.",15
LI,,,32.2.stroik.4a.g.02,"Tiffany may have been reading, but Melissa may have been doing so too.",15
LI,,,32.2.stroik.4a.g.03,"Derek may have been sleeping, but Travis may have been doing so too.",15
LI,,,32.2.stroik.4a.g.04,"Kate may have been driving, but Rebecca may have been doing so too.",15
LI,,,32.2.stroik.4a.g.05,"David may have been skiing, but William may have been doing so too.",15
LI,,,32.2.stroik.4a.g.06,"Cecilia may have been dancing, but Ariel may have been doing so too.",15
LI,,,32.2.stroik.4a.g.07,"Richard may have been hiding, but Blake may have been doing so too.",15
LI,,,32.2.stroik.4a.g.08,"Alicia may have been shopping, but Sally may have been doing so too.",15
LI,,,32.2.stroik.4b.*.01,"Max may have been studying, but Jason may have done so too.",14
LI,,,32.2.stroik.4b.*.02,"Tiffany may have been reading, but Melissa may have done so too.",14
LI,,,32.2.stroik.4b.*.03,"Derek may have been sleeping, but Travis may have done so too.",14
LI,,,32.2.stroik.4b.*.04,"Kate may have been driving, but Rebecca may have done so too.",14
LI,,,32.2.stroik.4b.*.05,"David may have been skiing, but William may have done so too.",14
LI,,,32.2.stroik.4b.*.06,"Cecilia may have been dancing, but Ariel may have done so too.",14
LI,,,32.2.stroik.4b.*.07,"Richard may have been hiding, but Blake may have done so too.",14
LI,,,32.2.stroik.4b.*.08,"Alicia may have been shopping, but Sally may have done so too.",14
LI,,,32.3.Culicover.15bii.*.01,John flattered Mary while insulting herself.,8
LI,,,32.3.Culicover.15bii.*.02,Amber called Anthony after injuring himself.,8
LI,,,32.3.Culicover.15bii.*.03,Tim complimented Hannah after introducing herself.,8
LI,,,32.3.Culicover.15bii.*.04,Tina aggravated Ethan while amusing himself.,8
LI,,,32.3.Culicover.15bii.*.05,Natalie surprised Jared while boring himself.,8
LI,(can Dale be a female name?),,32.3.Culicover.15bii.*.06,Dale found Brooke after frightening herself.,8
LI,,,32.3.Culicover.15bii.*.07,Molly avoided Keith after embarrassing himself.,8
LI,,,32.3.Culicover.15bii.*.08,Josh annoyed Paige while distracting herself.,8
LI,,,32.3.Culicover.15bii.g.01,John flattered Mary while insulting himself.,8
LI,,,32.3.Culicover.15bii.g.02,Amber called Anthony after injuring herself.,8
LI,,,32.3.Culicover.15bii.g.03,Tim complimented Hannah after introducing himself.,8
LI,,,32.3.Culicover.15bii.g.04,Tina aggravated Ethan while amusing herself.,8
LI,,,32.3.Culicover.15bii.g.05,Natalie surprised Jared while boring herself.,8
LI,,,32.3.Culicover.15bii.g.06,Dale found Brooke after frightening himself.,8
LI,,,32.3.Culicover.15bii.g.07,Molly avoided Keith after embarrassing herself.,8
LI,,,32.3.Culicover.15bii.g.08,Josh annoyed Paige while distracting himself.,8
LI,,,32.3.Culicover.22b.*.01,John told Sue when to wash himself.,9
LI,,,32.3.Culicover.22b.*.02,Marcy told Jeremy when to excuse herself.,9
LI,,,32.3.Culicover.22b.*.03,Mindy told Chuck when to praise himself.,9
LI,,,32.3.Culicover.22b.*.04,Robert told Lucy when to humiliate himself.,9
LI,,,32.3.Culicover.22b.*.05,Stewart told Tina when to burn himself.,9
LI,,,32.3.Culicover.22b.*.06,Brian told Rachel when to defend himself.,9
LI,,,32.3.Culicover.22b.*.07,Patty told Mike when to insult herself.,9
LI,,,32.3.Culicover.22b.*.08,Olivia told Gregory when to exonerate herself.,9
LI,,,32.3.Culicover.22b.g.01,John told Sue when to wash herself.,9
LI,,,32.3.Culicover.22b.g.02,Marcy told Jeremy when to excuse himself.,9
LI,,,32.3.Culicover.22b.g.03,Mindy told Chuck when to praise herself.,9
LI,,,32.3.Culicover.22b.g.04,Robert told Lucy when to humiliate herself.,9
LI,,,32.3.Culicover.22b.g.05,Stewart told Tina when to burn herself.,9
LI,,,32.3.Culicover.22b.g.06,Brian told Rachel when to defend herself.,9
LI,,,32.3.Culicover.22b.g.07,Patty told Mike when to insult himself.,9
LI,,,32.3.Culicover.22b.g.08,Olivia told Gregory when to exonerate himself.,9
LI,,,32.3.Culicover.25d.*.01,Last night there was an attempt to shoot oneself.,11
LI,,,32.3.Culicover.25d.*.02,Last month there was a plan to promote oneself.,11
LI,,,32.3.Culicover.25d.*.03,Last week there was a request to transfer oneself.,11
LI,,,32.3.Culicover.25d.*.04,Last year there was a proposal to fire oneself.,11
LI,,,32.3.Culicover.25d.*.05,Last Monday there was a plot to annoy oneself.,11
LI,,,32.3.Culicover.25d.*.06,Last Tuesday there was an agreement to replace oneself.,11
LI,,,32.3.Culicover.25d.*.07,Last weekend there was a suggestion to uninvite oneself.,11
LI,,,32.3.Culicover.25d.*.08,Last Friday there was an order to transfer oneself.,11
LI,,,32.3.Culicover.25d.g.01,Last night there was an attempt to shoot me.,11
LI,,,32.3.Culicover.25d.g.02,Last month there was a plan to promote me.,11
LI,,,32.3.Culicover.25d.g.03,Last week there was a request to transfer me.,11
LI,,,32.3.Culicover.25d.g.04,Last year there was a proposal to fire me.,11
LI,,,32.3.Culicover.25d.g.05,Last Monday there was a plot to annoy me.,11
